tag,Tokoyami Towa,Mori Calliope,Takane Lui,Ookami Mio,Kageyama Shien,Hakos Baelz,Hoshimachi Suisei,Vestia Zeta,Rikka,Yatogami Fuma,Ayunda Risu,Kazama Iroha,Nakiri Ayame,Tsunomaki Watame,Shiranui Flare,Kishido Temma,Kobo Kanaeru,Astel Leda,Minase Rio,Ninomae Ina'nis,Himemori Luna,Axel Syrios,Inugami Korone,Kanade Izuru,Momosuzu Nene,Hakui Koyori,Pavolia Reine,Moona Hoshinova,Takanashi Kiara,Yuzuki Choco,Shirogane Noel,Oozora Subaru,Shishiro Botan,Nekomata Okayu,Robocosan,Sakura Miko,Anya Melfissa,Aki Rosenthal,Aragami Oga,IRyS,Amane Kanata,Ouro Kronii,Yukoku Roberu,Airani Iofifteen,Yukihana Lamy,Usada Pekora,Arurandeisu,Natsuiro Matsuri,Regis Altare,Shirakami Fubuki,Houshou Marine,Utsugi Uyu,Kaela Kovalskia,Kureiji Ollie,AZKi,Omaru Polka,Tokino Sora,Hanasaki Miyabi,La+ Darknesss
indie,0.0,0.0,0.0,0.0,0.0,8.570287223106752e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085712607779243e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.464654148734411e-08,0.0,0.0,0.0,0.0,0.0,0.0
interactive fiction,2.009120535650018e-15,0.0,0.0,3.467101062823138e-16,0.10095363027307035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4274450366100885e-14,2.8722429539725165e-13,0.0,8.494257499437357e-17,0.0,7.44828347268887e-09,0.0,0.0,2.379456559664007e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.245519368582363e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.157448090079121e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1178517706442914e-17,0.0,3.7516971988076114e-07,0.0
inventory management,2.2915705996530765e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3927091396508896e-16,1.900230966074373e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2387192124636025e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2802021186931045e-17,0.0,0.0,0.0,1.1213234846725866e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investigation,0.011003532063348566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.397120982939228e-23,0.0,0.0,6.998913711543148e-16,0.0,0.0,5.046096227240753e-22,0.0,0.0,0.0,0.0,2.1202126950677677e-05,0.0,3.3093771332119244e-24,0.0,0.0,3.526826759872872e-06,0.0,0.013937705086027343,0.0,0.0,3.061072404725192e-16,0.0,0.0,3.665045817778718e-23,0.0,1.6081924068255553e-17,0.0,0.0,0.06495092965991318,0.0,0.06113755707209236,7.764818356164396e-18,0.016723098375147,0.0,0.0,6.452334117127768e-14,0.0,5.754709261752985e-07,7.043750069721215e-08,0.0,1.0114054035197744e-19,0.10655845404480077,1.2143138475549509e-18,0.0,1.3357336380852767e-07,0.0,0.0,0.0
jrpg,0.0,0.0,1.4728426612091158e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9018314870090566e-23,9.34550374651179e-24,7.367650425236865e-25,0.0,0.0,0.0,1.51396847554236e-23,0.0,0.0,0.0,3.87492542047557e-23,0.0005446962612582639,0.0,1.7771880055663455e-23,0.0,0.0,0.0,0.0,0.0,5.592074942757754e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.634109795906484e-09,0.0,3.304800781845044e-24,0.0,0.0,1.972464763988196e-17,0.0,0.0,0.0,0.0,0.0,5.353245708192858e-09,0.0,3.538029068723103e-23,0.0
keyboard only option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021371111859136274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024611136529887466,0.0,0.03314502720004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03476353962810171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
level editor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247223907316025e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2903251692583542e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.248252663109608e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0951877683445545e-08,3.910126834059046e-23,0.0
lgbtq+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18991251655126e-11,0.0,0.0,0.0,0.0,0.0,4.186720916522598e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.017561138286225e-12,0.0,0.0,0.0,0.0,2.089670370868782e-11,0.0,0.0,0.0,0.0,0.0
linear,2.9769527459832847e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.197707198623584e-24,0.0,2.567359572075575e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local co-op,0.0,1.4532254749218967e-06,0.0,0.0,0.0,0.0,0.0,9.374092203195797e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.118280527123965e-05,0.0,4.3922363878560935e-07,0.0,0.0,0.0,0.0,0.0,1.0597094241656722e-05,0.0,0.0,0.0,0.0,0.0,1.758663801941914e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.2976409558189003e-06,0.0006271377893276185,0.0,0.0,0.0,0.0,0.00014987561415580588,2.251798270468181e-06,0.0,0.0,0.0,2.017458950976413e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029426272485866674,3.5959419109850936e-05,0.0
